NOME_MUNICIPIO,2017,2018,2019,2020,2021,2022,2023,2024
Santa Cruz da Esperança,5,4,3,2,2,1,4,1
Santa Cruz das Palmeiras,112,64,83,42,40,37,42,39
Santa Cruz do Rio Pardo,162,85,72,56,60,76,107,92
Santa Ernestina,7,9,7,3,4,7,9,8
Santo Expedito,10,4,3,2,3,2,1,1
Santa Fé do Sul,154,130,132,84,82,99,113,78
São Francisco,1,2,3,2,0,1,1,1
Santa Gertrudes,41,30,44,19,11,19,38,31
Santa Isabel,239,216,202,81,89,98,170,92
São João da Boa Vista,213,216,267,130,108,154,219,184
São João de Iracema,1,1,1,0,0,2,1,2
São João do Pau d'Alho,2,1,0,0,0,0,1,1
São João das Duas Pontes,5,4,2,3,0,4,2,0
São Joaquim da Barra,172,138,120,80,86,97,106,91
São José da Bela Vista,19,18,14,14,6,10,14,10
São José do Barreiro,5,3,3,2,1,4,6,4
São José do Rio Pardo,113,143,116,42,49,66,82,66
São José do Rio Preto,1900,1843,1705,897,715,1022,2211,2087
São José dos Campos,2969,2666,2285,888,721,801,2735,2310
São Lourenço da Serra,60,65,61,29,23,25,60,38
Santa Lúcia,12,11,6,7,1,2,6,7
São Luiz do Paraitinga,26,25,21,8,7,10,21,18
São Manuel,92,65,76,49,71,80,62,91
Santa Maria da Serra,8,10,19,14,14,6,5,8
Santa Mercedes,4,2,7,1,1,2,0,3
São Miguel Arcanjo,109,92,71,43,52,49,50,31
São Paulo,255145,260452,301357,256047,282935,310572,215197,183331
São Pedro,118,88,87,42,39,51,63,66
São Pedro do Turvo,14,13,19,10,2,5,8,7
Santa Rita d'Oeste,2,4,2,1,0,1,0,0
Santa Rita do Passa Quatro,58,46,74,24,21,36,38,47
São Roque,256,184,223,108,94,131,235,223
Santa Rosa de Viterbo,42,37,32,20,21,21,37,19
Santa Salete,1,0,1,0,0,1,1,0
São Sebastião,376,321,290,177,144,168,405,361
São Sebastião da Grama,14,12,7,12,10,17,11,11
São Simão,34,30,38,14,6,25,28,25
São Vicente,2026,1759,1748,937,635,802,2844,2700
Sabino,8,24,13,14,9,9,18,12
Sagres,0,2,0,3,2,0,1,0
Sales,26,17,14,9,6,5,10,10
Sales Oliveira,11,20,9,7,5,5,16,14
Salesópolis,30,30,30,15,16,17,28,31
Salmourão,3,7,4,1,3,4,6,2
Saltinho,14,18,13,14,5,7,9,9
Salto,194,209,168,117,78,114,265,205
Salto de Pirapora,81,93,91,47,34,60,86,84
